[ 2025-12-29 21:06:56,696 ] 16 root - INFO - Initiated Data Ingestion.
[ 2025-12-29 21:07:02,705 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-29 21:07:02,705 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-29 21:07:02,705 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-29 21:07:02,798 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-29 21:07:02,798 ] 18 root - INFO - Data initiation completed
[ 2025-12-29 21:07:02,810 ] 22 root - INFO - Initiated data validation
[ 2025-12-29 21:07:02,917 ] 32 root - INFO - Required number of columns:2
[ 2025-12-29 21:07:02,926 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-29 21:07:02,926 ] 32 root - INFO - Required number of columns:2
[ 2025-12-29 21:07:02,926 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-29 21:07:03,153 ] 24 root - INFO - Data Validation completed
[ 2025-12-29 21:07:03,153 ] 60 root - INFO - entered initiate_data_transformation method in dataTransformation class
[ 2025-12-29 21:07:03,153 ] 62 root - INFO - Starting data_transformation
[ 2025-12-29 21:07:03,207 ] 46 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-29 21:07:03,207 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-29 21:07:03,224 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-29 21:07:03,225 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-29 21:07:03,232 ] 29 root - INFO - Data Transformation completed
[ 2025-12-29 21:07:03,232 ] 31 root - INFO - Model Training sstared
[ 2025-12-29 21:15:06,154 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-29 21:15:06,155 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-29 21:15:06,155 ] 97 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_29_2025_21_06_55\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910891593258313, precision_score=0.989124911068198, recall_score=0.993061224489796), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9874875868917578, precision_score=0.9861166203887346, recall_score=0.9888623707239459))
[ 2025-12-29 21:15:06,155 ] 36 root - INFO - Model Training artifact created
