[ 2025-12-29 21:51:56,451 ] 16 root - INFO - Initiated Data Ingestion.
[ 2025-12-29 21:52:10,039 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-29 21:52:10,039 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-29 21:52:10,039 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-29 21:52:10,136 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-29 21:52:10,136 ] 18 root - INFO - Data initiation completed
[ 2025-12-29 21:52:10,155 ] 22 root - INFO - Initiated data validation
[ 2025-12-29 21:52:10,257 ] 32 root - INFO - Required number of columns:2
[ 2025-12-29 21:52:10,264 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-29 21:52:10,264 ] 32 root - INFO - Required number of columns:2
[ 2025-12-29 21:52:10,264 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-29 21:52:10,496 ] 24 root - INFO - Data Validation completed
[ 2025-12-29 21:52:10,496 ] 60 root - INFO - entered initiate_data_transformation method in dataTransformation class
[ 2025-12-29 21:52:10,496 ] 62 root - INFO - Starting data_transformation
[ 2025-12-29 21:52:10,555 ] 46 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-29 21:52:10,555 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-29 21:52:10,580 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-29 21:52:10,583 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-29 21:52:10,589 ] 29 root - INFO - Data Transformation completed
[ 2025-12-29 21:52:10,589 ] 31 root - INFO - Model Training sstared
[ 2025-12-29 21:57:57,465 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-29 21:57:57,465 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-29 21:57:57,465 ] 114 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_29_2025_21_51_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915822370079137, precision_score=0.9890397184514832, recall_score=0.9941378613300991), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9836877968201528, precision_score=0.9830788278992983, recall_score=0.984297520661157))
[ 2025-12-29 21:57:57,465 ] 36 root - INFO - Model Training artifact created
