[ 2025-12-29 23:33:18,565 ] 16 root - INFO - Initiated Data Ingestion.
[ 2025-12-29 23:33:32,188 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-29 23:33:32,188 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-29 23:33:32,188 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-29 23:33:32,293 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-29 23:33:32,293 ] 18 root - INFO - Data initiation completed
[ 2025-12-29 23:33:32,301 ] 22 root - INFO - Initiated data validation
[ 2025-12-29 23:33:32,405 ] 32 root - INFO - Required number of columns:2
[ 2025-12-29 23:33:32,412 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-29 23:33:32,412 ] 32 root - INFO - Required number of columns:2
[ 2025-12-29 23:33:32,412 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-29 23:33:32,660 ] 24 root - INFO - Data Validation completed
[ 2025-12-29 23:33:32,660 ] 60 root - INFO - entered initiate_data_transformation method in dataTransformation class
[ 2025-12-29 23:33:32,660 ] 62 root - INFO - Starting data_transformation
[ 2025-12-29 23:33:32,725 ] 46 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-29 23:33:32,725 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-29 23:33:32,750 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-29 23:33:32,758 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-29 23:33:32,758 ] 29 root - INFO - Data Transformation completed
[ 2025-12-29 23:33:32,760 ] 31 root - INFO - Model Training sstared
[ 2025-12-29 23:37:05,113 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-29 23:37:05,115 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-29 23:37:05,115 ] 114 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_29_2025_23_33_16\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913096200485044, precision_score=0.9908090091909908, recall_score=0.991810737033667), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9851973684210527, precision_score=0.9815649324047522, recall_score=0.988856789104416))
[ 2025-12-29 23:37:05,122 ] 36 root - INFO - Model Training artifact created
